Dimensione,BubbleSort,InsertionSort,SelectionSort,MergeSort,QuickSort,StdSort
2,9.4e-09,8.88667e-09,9.03333e-09,5.136e-08,1.14933e-08,1.69933e-08
4,4.45733e-08,3.074e-08,3.314e-08,1.9602e-07,5.756e-08,6.36e-08
8,2.7362e-07,1.5348e-07,1.9766e-07,5.3874e-07,1.909e-07,1.27893e-07
16,1.04023e-06,2.93627e-07,7.39053e-07,1.49107e-06,5.55947e-07,5.4758e-07
32,3.97589e-06,6.173e-07,2.14987e-06,2.00774e-06,8.6348e-07,1.19787e-06
64,1.28338e-05,1.15391e-06,3.7907e-06,5.19918e-06,2.22719e-06,5.85528e-06
